k,sim_true,sim_false
2,0.9980231115314758,0.5922717886747886
5,0.9876338160593956,0.03751075401635306
10,0.9803965498428748,0.0036490010224077283
20,0.9647721597710703,0.00021264771645363665
40,0.9334522819982718,0.0
60,0.9021324042254735,0.0
120,0.8091880864905127,0.0
